T-cells,B-cells,Macrophages,Endothelial cells,CAFs,melanoma
CD2,CD19,CD163,PECAM1,FAP,MIA
CD3D,CD79A,CD14,VWF,THY1,TYR
CD3E,CD79B,CSF1R,CDH5,DCN,SLC45A2
CD3G,BLK,C1QC,CLDN5,COL1A1,CDH19
CD8A,MS4A1,VSIG4,PLVAP,COL1A2,PMEL
SIRPG,BANK1,C1QA,ECSCR,COL6A1,SLC24A5
TIGIT,IGLL3P,FCER1G,SLCO2A1,COL6A2,MAGEA6
GZMK,FCRL1,F13A1,CCL14,COL6A3,GJB1
ITK,PAX5,TYROBP,MMRN1,CXCL14,PLP1
SH2D1A,CLEC17A,MSR1,MYCT1,LUM,PRAME
CD247,CD22,C1QB,KDR,COL3A1,CAPN3
PRF1,BCL11A,MS4A4A,TM4SF18,DPT,ERBB3
NKG7,VPREB3,FPR1,TIE1,ISLR,GPM6B
IL2RB,HLA-DOB,S100A9,ERG,PODN,S100B
SH2D2A,STAP1,IGSF6,FABP4,CD248,FXYD3
KLRK1,FAM129C,LILRB4,SDPR,FGF7,PAX3
ZAP70,TLR10,FPR3,HYAL2,MXRA8,S100A1
CD7,RALGPS2,SIGLEC1,FLT4,PDGFRL,MLANA
CST7,AFF3,LILRA1,EGFL7,COL14A1,SLC26A2
LAT,POU2AF1,LYZ,ESAM,MFAP5,GPR143
PYHIN1,CXCR5,HK3,CXorf36,MEG3,CSPG4
SLA2,PLCG2,SLC11A1,TEK,SULF1,SOX10
STAT4,HVCN1,CSF3R,TSPAN18,AOX1,MLPH
CD6,CCR6,CD300E,EMCN,SVEP1,LOXL4
,P2RX5,PILRA,MMRN2,LPAR1,PLEKHB1
CD96,BLNK,FCGR3A,ELTD1,PDGFRB,RAB38
TC2N,KIAA0226L,AIF1,PDE2A,TAGLN,QPCT
FYN,POU2F2,SIGLEC9,NOS3,IGFBP6,BIRC7
LCK,IRF8,FCGR1C,ROBO4,FBLN1,MFI2
TCF7,FCRLA,OLR1,APOLD1,CA12,LINC00473
TOX,CD37,TLR2,PTPRB,SPOCK1,SEMA3B
IL32,,LILRB2,RHOJ,TPM2,SERPINA3
SPOCK2,,C5AR1,RAMP2,THBS2,PIR
SKAP1,,FCGR1A,GPR116,FBLN5,MITF
CD28,,MS4A6A,F2RL3,TMEM119,ST6GALNAC2
CBLB,,C3AR1,JUP,ADAM33,ROPN1B
APOBEC3G,,HCK,CCBP2,PRRX1,CDH1
PRDM1,,IL4I1,GPR146,PCOLCE,ABCB5
,,LST1,RGS16,IGF2,QDPR
,,LILRA5,TSPAN7,GFPT2,SERPINE2
,,CSTA,RAMP3,PDGFRA,ATP1A1
,,IFI30,PLA2G4C,CRISPLD2,ST3GAL4
,,CD68,TGM2,CPE,CDK2
,,TBXAS1,LDB2,F3,ACSL3
,,FCGR1B,PRCP,MFAP4,NT5DC3
,,LILRA6,ID1,C1S,IGSF8
,,CXCL16,SMAD1,PTGIS,MBP
,,NCF2,AFAP1L1,LOX,
,,RAB20,ELK3,CYP1B1,
,,MS4A7,ANGPT2,CLDN11,
,,NLRP3,LYVE1,SERPINF1,
,,LRRC25,ARHGAP29,OLFML3,
,,ADAP2,IL3RA,COL5A2,
,,SPP1,ADCY4,ACTA2,
,,CCR1,TFPI,MSC,
,,TNFSF13,TNFAIP1,VASN,
,,RASSF4,SYT15,ABI3BP,
,,SERPINA1,DYSF,C1R,
,,MAFB,PODXL,ANTXR1,
,,IL18,SEMA3A,MGST1,
,,FGL2,DOCK9,C3,
,,SIRPB1,F8,PALLD,
,,CLEC4A,NPDC1,FBN1,
,,MNDA,TSPAN15,CPXM1,
,,FCGR2A,CD34,CYBRD1,
,,CLEC7A,THBD,IGFBP5,
,,SLAMF8,ITGB4,PRELP,
,,SLC7A7,RASA4,PAPSS2,
,,ITGAX,COL4A1,MMP2,
,,BCL2A1,ECE1,CKAP4,
,,PLAUR,GFOD2,CCDC80,
,,SLCO2B1,EFNA1,ADAMTS2,
,,PLBD1,PVRL2,TPM1,
,,APOC1,GNG11,PCSK5,
,,RNF144B,HERC2P2,ELN,
,,SLC31A2,MALL,CXCL12,
,,PTAFR,HERC2P9,OLFML2B,
,,NINJ1,PPM1F,PLAC9,
,,ITGAM,PKP4,RCN3,
,,CPVL,LIMS3,LTBP2,
,,PLIN2,CD9,NID2,
,,C1orf162,RAI14,SCARA3,
,,FTL,ZNF521,AMOTL2,
,,LIPA,RGL2,TPST1,
,,CD86,HSPG2,MIR100HG,
,,GLUL,TGFBR2,CTGF,
,,FGR,RBP1,RARRES2,
,,GK,FXYD6,FHL2,
,,TYMP,MATN2,,
,,GPX1,S1PR1,,
,,NPL,PIEZO1,,
,,ACSL1,PDGFA,,
,,,ADAM15,,
,,,HAPLN3,,
,,,APP,,
